EXPEDIENTE;TIPO;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
126682;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;35075,33;34965,46;37019,41;390,04
62892;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;35074,09;17550,97;102705,31;-4437,97
118626;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;35067,98;13063,33;63446,36;165,93
134158;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;35064,58;14336,19;49224,95;1105,98
310411;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;35063,37;22549,66;39579,48;21749,66
306332;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;35058,85;35058,85;61256,06;34258,85
143515;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;35052,75;14447,19;169827,95;10914,16
77594;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35052,67;4749,61;21455;76,48
130460;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;12;35052,12;31930,43;0;0
116892;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35041,74;9249,13;145627,22;2026,5
302402;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35012,99;800;2610;0
712496;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;34996,45;26778,83;759997,74;12560,11
82478;ANÓNIMA;GUAYAQUIL;MEDIANA;SOCIETARIO;9;34991,63;22863,71;97303,3;1581,13
136376;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;34981,66;25085,03;34808,74;248,29
139982;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;34978,47;-69543,62;43195;-26827,84
707028;ANÓNIMA;JUAN GOMEZ RENDÓN;MICROEMPRESA;SOCIETARIO;2;34959,76;1349,35;17090,91;1390,78
133923;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;34950,1;34576,26;61428,41;735,49
81022;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;34943,94;6188,72;134090,57;31,2
